RMOWNHH,OMB13CBSA,DIVISION,HHSEX,HHMAR,HHCITSHP,HHAGE,HHRACE,HHGRAD,NUMPEOPLE,HINCP
'2','99998','4','2','2','1',30,'01','40',4,0
'-6','99998','3','2','1','1',56,'01','45',2,210300
'-6','99998','3','1','1','1',56,'01','34',7,118000
'-6','99998','3','2','1','1',51,'01','40',4,106000
'-6','99998','8','1','1','1',74,'01','44',2,168500
'-6','99998','4','1','1','1',49,'01','39',3,145000
'-6','99998','3','1','3','1',73,'01','40',2,16400
'-6','99998','3','2','1','1',72,'01','39',2,57100
'-6','99998','3','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','1','1','1',85,'01','39',2,60500
'-6','99998','4','1','4','1',62,'01','38',1,45000
'-6','99998','8','1','1','1',40,'01','40',5,130100
'-6','99998','7','1','1','1',29,'01','39',4,98000
'-6','99998','7','1','1','1',66,'01','40',3,90000
'2','99998','9','1','1','1',28,'01','40',4,40700
'-6','99998','9','1','6','1',30,'01','39',1,710
'-6','47900','5','1','1','1',51,'01','44',3,437000
'1','47900','5','1','1','1',49,'01','40',4,95000
'-9','47900','5','1','1','4',56,'02','43',4,340500
'-6','99999','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','1','4','1',70,'01','40',1,46100
'-6','47900','5','2','6','3',31,'04','45',2,161000
'1','47900','5','1','1','1',58,'01','40',2,127200
'-6','47900','5','1','1','4',59,'04','44',2,155600
'-6','47900','5','1','1','1',64,'01','40',4,308200
'-6','47900','5','1','1','1',70,'01','47',2,150000
'-6','47900','5','2','1','1',35,'02','40',5,35000
'1','99998','5','2','6','1',22,'01','39',2,63010
'-6','99998','5','2','1','1',69,'02','39',2,25600
'-6','99998','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','2','2','1',77,'01','44',1,10000
'-6','99998','9','2','4','1',45,'01','44',2,85000
'-6','99998','4','1','1','1',54,'01','44',2,46000
'-6','99999','9','2','1','1',50,'01','39',2,124000
'-6','99999','9','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99998','6','1','1','1',30,'01','43',4,77000
'-6','47900','5','2','1','1',45,'01','45',4,200600
'1','47900','5','1','1','1',28,'01','44',2,95000
'-6','47900','5','1','1','1',57,'01','46',2,125000
'-6','99998','5','2','1','1',29,'01','44',2,72800
'2','99998','9','2','6','1',31,'01','44',1,57000
'-6','99998','9','1','6','1',58,'03','39',1,26400
'-6','47900','5','1','1','4',72,'04','45',2,67404
'-6','99999','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','1','4','1',80,'01','41',1,42000
'-6','47900','5','2','1','1',36,'01','44',2,97000
'-6','47900','5','2','6','1',46,'01','45',1,86600
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','1','4','1',53,'02','44',1,210300
'-6','99998','5','1','6','1',31,'02','43',3,98000
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','2','6','1',72,'01','40',1,17100
'-6','47900','5','1','1','4',58,'04','45',4,472840
'2','47900','5','1','6','5',33,'01','40',1,50000
'-6','47900','5','1','4','3',59,'01','40',2,24000
'-6','47900','5','2','1','1',60,'01','44',3,211300
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','1','1',70,'01','44',2,425000
'-6','47900','5','2','3','4',69,'01','44',1,300
'-6','47900','5','1','4','4',59,'02','43',3,56270
'-6','99998','4','2','2','1',67,'01','43',1,142000
'1','99998','4','1','4','1',54,'01','40',1,4800
'-6','99999','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','1','5','1',72,'01','37',1,14420
'-6','47900','5','1','1','4',72,'04','44',2,40000
'-6','47900','5','1','1','1',56,'01','44',4,452000
'-6','47900','5','1','6','1',30,'01','40',1,90000
'-9','47900','5','2','4','1',54,'02','45',1,11000
'-6','47900','5','2','3','1',72,'01','43',1,22000
'-6','47900','5','2','6','1',37,'01','44',1,51004
'1','47900','5','1','1','1',58,'01','41',3,215000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','1','4','1',71,'01','43',1,24000
'-6','99998','9','2','6','1',30,'01','47',2,127004
'-6','99998','9','2','6','5',34,'05','44',2,70200
'-6','99998','9','1','1','1',44,'01','44',2,55000
'-6','47900','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','9','2','1','1',65,'01','45',2,239000
'-6','47900','5','1','1','1',69,'01','39',2,4600
'-6','47900','5','2','5','5',61,'01','40',4,109900
'-6','47900','5','1','1','4',64,'04','44',2,97000
'-6','47900','5','1','1','5',37,'04','45',4,168000
'-6','47900','5','2','1','1',38,'01','44',4,160000
'2','99998','9','1','6','4',34,'03','45',1,35000
'-6','99998','4','2','6','1',36,'01','42',1,37000
'-6','47900','5','1','6','1',26,'01','43',1,47000
'-6','99999','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','47900','5','2','1','4',38,'04','44',4,177200
'-6','47900','5','2','1','1',64,'01','39',2,212400
'-6','47900','5','2','3','1',85,'04','40',1,3500
'-6','47900','5','1','1','4',58,'04','44',4,131000
'2','47900','5','1','1','5',41,'01','37',5,38000
'-6','47900','5','1','1','5',57,'01','37',3,59020
'-6','99999','9','2','1','1',71,'01','40',2,72900
'-6','47900','5','2','1','4',39,'02','44',4,150000
'2','47900','5','1','1','1',64,'01','46',2,95000
'-6','47900','5','1','6','1',54,'01','45',1,115000
'-6','47900','5','1','4','1',36,'01','40',3,45000
'1','99998','9','1','1','4',50,'04','38',7,47000
'-6','47900','5','1','1','1',63,'02','40',3,76200
'2','99998','4','2','5','4',48,'01','33',6,42000
'-6','99999','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','6','1','1','1',36,'01','47',3,260000
'-6','47900','5','2','6','2',54,'01','44',1,110000
'-6','47900','5','1','1','4',43,'02','45',4,192000
'-6','47900','5','1','1','1',48,'01','45',2,161900
'-6','47900','5','1','6','1',40,'04','45',1,79900
'-6','47900','5','1','1','1',68,'01','46',3,560000
'-6','99998','5','1','1','1',34,'08','43',6,89000
'1','99998','9','2','4','1',51,'01','44',2,332100
'-6','99998','9','1','1','1',40,'01','46',4,160000
'-6','99998','9','1','1','1',72,'01','46',2,45600
'-6','99998','9','1','6','1',39,'01','46',1,29500
'-6','47900','5','2','6','1',38,'01','40',1,35000
'-6','47900','5','2','1','1',73,'02','44',2,459800
'-6','47900','5','2','1','1',59,'02','43',3,97000
'-6','99998','4','1','4','1',85,'01','39',3,31400
'-6','47900','5','2','1','4',48,'01','40',4,49000
'-6','47900','5','2','6','1',44,'01','45',1,110000
'-6','47900','5','2','4','5',59,'04','44',2,200000
'-6','47900','5','1','1','1',53,'01','45',5,562000
'-6','47900','5','1','1','1',61,'01','45',4,100000
'-6','47900','5','2','6','4',35,'01','45',1,82200
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99998','5','2','4','1',72,'01','39',1,26600
'-6','99998','7','1','6','1',26,'01','42',2,45000
'2','99998','5','1','1','1',45,'01','44',2,23700
'-6','99998','5','2','1','4',34,'01','40',5,44000
'-6','99999','5','1','1','1',76,'01','43',2,18000
'-6','99998','7','2','6','1',38,'02','37',2,45000
'-6','99998','7','2','6','1',37,'01','40',2,104000
'2','99998','5','1','4','4',49,'02','40',1,28000
'2','99998','5','1','4','1',50,'01','44',1,40000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','2','1','1',41,'01','39',3,65000
'-6','99998','7','1','1','1',51,'01','36',2,200000
'-6','99998','5','1','1','1',55,'01','45',3,135000
'-6','99998','7','1','1','1',34,'01','45',4,88000
'-6','99998','7','2','6','1',34,'01','45',1,8000
'-6','99998','5','1','4','1',67,'01','44',1,110000
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99998','7','2','4','1',55,'01','42',1,80000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','1','5',32,'04','44',3,45000
'-6','99998','2','2','2','1',70,'01','36',1,27900
'-6','99998','5','1','3','1',68,'01','43',1,40000
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99998','5','2','1','1',74,'01','44',3,124300
'2','99998','5','2','4','1',59,'01','44',1,73000
'-6','99998','5','2','3','1',66,'01','39',2,122000
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','2','4','4',73,'01','43',1,9310
'-6','99998','7','2','1','1',42,'02','42',3,100000
'-6','99998','5','1','4','1',48,'01','39',1,85000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','2','4','1',62,'01','40',1,28400
'-6','99998','5','1','6','1',39,'01','40',1,58000
'-6','99998','5','1','1','1',29,'01','39',2,20000
'-6','99998','5','1','1','1',46,'01','44',3,170000
'-6','99999','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','2','4','1',59,'01','38',2,59000
'-6','99998','5','2','4','1',56,'02','39',3,17000
'-6','99998','5','1','1','1',37,'01','44',5,54000
'-6','99998','5','1','1','4',55,'01','44',4,116200
'2','99998','5','2','3','4',69,'01','45',2,34900
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','1','1','1',80,'01','47',2,151100
'-6','42660','9','1','1','1',44,'03','39',7,120000
'-6','42660','9','1','4','1',59,'01','39',2,74400
'-6','42660','9','2','3','1',69,'01','45',1,26400
'-6','42660','9','2','1','1',55,'01','45',2,346030
'-6','42660','9','1','6','1',63,'01','39',1,20300
'-6','42660','9','1','1','1',32,'01','39',3,71700
'-6','99999','5','1','1','1',30,'01','39',4,124700
'1','99998','5','2','6','1',20,'01','41',3,25500
'-6','12060','5','2','4','1',48,'02','44',2,44000
'-6','42660','9','1','1','1',60,'08','44',4,0
'-6','42660','9','1','6','1',36,'01','42',5,78000
'-6','42660','9','2','6','1',45,'01','44',3,169000
'2','42660','9','2','6','1',37,'03','39',5,51000
'-6','12060','5','1','1','1',37,'01','44',4,86200
'-6','99998','5','2','4','1',67,'01','44',2,57000
'-6','99998','5','2','6','1',25,'01','39',1,30000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','42660','9','1','1','1',50,'01','39',4,190000
'-6','42660','9','1','1','1',38,'01','43',4,120000
'-6','42660','9','2','1','1',54,'01','41',3,54300
'-6','42660','9','2','4','1',64,'01','40',1,1600
'-6','42660','9','1','1','1',66,'02','44',3,56600
'-6','42660','9','2','3','4',80,'01','39',1,27400
'-6','12060','5','2','4','1',63,'01','41',1,11800
'-6','99999','5','2','3','1',70,'01','39',1,1200
'1','12060','5','2','1','1',28,'01','40',3,70000
'2','99998','5','1','6','1',25,'01','40',1,0
'-6','99998','5','2','3','1',74,'01','44',1,81300
'-6','12060','5','1','4','1',64,'02','39',2,72000
'-6','42660','9','1','1','1',27,'01','40',2,70000
'-6','42660','9','2','3','1',62,'01','39',1,26000
'2','42660','9','1','1','5',45,'04','44',4,52800
'-6','42660','9','1','1','1',68,'01','44',2,72000
'1','12060','5','2','1','1',44,'01','36',7,41900
'-6','12060','5','1','5','1',68,'01','39',1,44100
'-6','99998','5','2','1','1',43,'01','45',4,115000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','1','1','4',50,'01','45',4,235000
'-6','42660','9','1','3','1',54,'01','36',1,30000
'-6','42660','9','2','1','1',56,'01','39',2,159300
'-6','42660','9','1','6','1',29,'01','35',6,165000
'-6','42660','9','2','4','1',80,'01','40',1,47300
'-6','42660','9','2','3','1',72,'01','44',1,128400
'-6','99998','5','1','1','1',75,'02','44',3,64940
'-6','12060','5','1','1','1',70,'02','40',2,7700
'-6','42660','9','1','4','1',45,'01','39',4,137400
'-6','42660','9','2','3','1',65,'02','39',3,41200
'2','42660','9','1','4','1',62,'01','40',1,86000
'-6','42660','9','1','1','1',61,'01','42',3,156200
'-6','42660','9','2','1','1',57,'02','39',7,63000
'-6','42660','9','1','1','1',57,'01','40',3,149000
'-6','42660','9','2','1','1',48,'01','40',4,82000
'-6','42660','9','2','1','1',78,'01','45',2,527000
'-6','42660','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','2','6','1',55,'02','44',3,54000
'-6','42660','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','42660','9','2','3','5',80,'01','44',1,48800
'-6','42660','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','42660','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','12060','5','1','1','1',80,'01','43',2,28000
'1','99998','5','1','6','1',40,'02','40',2,30000
'-6','12060','5','1','1','1',31,'01','38',2,98000
'-6','42660','9','1','6','1',58,'01','39',1,128000
'-6','42660','9','2','1','1',26,'01','44',2,105000
'2','42660','9','2','4','1',49,'01','40',1,100000
'-6','42660','9','1','1','4',44,'04','44',3,156500
'-6','42660','9','1','4','1',56,'01','40',3,133200
'1','42660','9','2','6','1',26,'01','44',2,108000
'-6','42660','9','2','3','1',75,'01','36',1,11700
'2','12060','5','1','6','1',46,'02','37',1,8400
'-6','12060','5','1','4','1',42,'01','45',1,336100
'-6','12060','5','2','1','1',43,'01','45',5,128000
'2','99998','5','1','6','1',19,'01','40',2,20
'-6','12060','5','1','1','1',85,'01','47',2,15910
'-6','42660','9','1','1','1',39,'04','43',4,60000
'1','42660','9','2','1','1',23,'01','39',3,50000
'-9','42660','9','2','1','3',62,'04','39',2,40000
'-6','42660','9','2','1','1',74,'01','44',2,140500
'-6','42660','9','1','1','1',80,'01','39',2,34600
'-6','12060','5','1','5','1',60,'02','39',1,1490
'-6','99998','5','1','1','3',34,'08','39',4,52000
'-6','12060','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','42660','9','2','4','1',56,'02','40',2,45200
'-6','42660','9','1','1','1',45,'01','39',5,87500
'-6','42660','9','1','1','1',77,'01','42',2,37000
'-6','42660','9','1','5','1',31,'01','40',1,34000
'2','42660','9','2','4','1',44,'01','40',2,99000
'-6','42660','9','2','1','1',58,'01','44',2,173000
'-6','99998','5','2','6','1',35,'02','37',2,1540
'-6','99999','3','1','1','4',37,'04','45',3,182000
'2','16980','3','2','6','1',35,'01','42',2,150000
'-6','99999','3','1','1','1',68,'01','40',2,79470
'-6','16980','3','2','1','1',53,'01','40',2,115000
'-6','99999','3','1','6','1',30,'03','43',2,74000
'-6','16980','3','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','3','1','1','1',62,'01','44',4,90000
'2','99999','3','2','6','1',34,'01','39',3,13800
'-6','16980','3','2','3','1',55,'02','43',1,60000
'-6','99999','3','2','1','1',70,'01','44',2,59200
'-6','16980','3','1','4','1',56,'01','41',1,122000
'-6','99999','3','1','6','1',26,'01','39',2,16000
'-6','16980','3','1','1','1',66,'01','42',2,40700
'-6','99999','3','1','1','1',76,'01','39',2,52600
'-6','99998','5','2','1','1',53,'01','39',4,25000
'-6','99998','9','1','1','4',60,'01','37',5,125000
'-6','99998','2','2','6','1',58,'02','39',2,2170
'-6','35620','2','2','3','1',79,'01','43',1,12200
'-6','31080','9','1','4','4',58,'01','44',1,100000
'2','31080','9','1','1','1',48,'01','40',5,80000
'-6','35620','2','1','1','4',62,'01','45',2,513000
'-6','31080','9','1','6','1',21,'01','39',5,112000
'2','31080','9','2','6','1',25,'01','44',1,20000
'2','99999','3','1','1','1',34,'01','44',4,70000
'-6','99998','9','1','1','5',57,'01','41',6,163000
'-6','99998','2','2','1','1',69,'01','43',2,31400
'-6','31080','9','2','6','1',37,'05','40',5,136400
'-6','31080','9','1','1','1',40,'01','44',2,167000
'1','35620','2','2','6','1',35,'01','44',2,145000
'-6','31080','9','2','1','1',77,'01','44',2,51000
'2','31080','9','1','1','5',62,'01','38',3,244000
'-6','31080','9','1','1','5',50,'01','40',5,138000
'-6','31080','9','1','1','1',66,'01','44',3,106100
'-6','99999','3','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','2','1','5',39,'04','47',2,190000
'-6','99998','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','31080','9','2','1','5',55,'01','33',4,131000
'-6','31080','9','1','4','1',65,'01','43',1,26400
'-6','35620','2','2','4','1',56,'01','45',3,9900
'-6','35620','2','2','4','1',66,'01','39',5,33000
'-6','31080','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','31080','9','1','1','1',80,'01','44',2,103900
'-6','35620','2','2','1','4',50,'02','38',3,40000
'-6','35620','2','1','6','5',50,'04','44',3,95000
'1','31080','9','2','6','1',26,'01','40',3,52000
'-6','99999','3','1','4','1',54,'01','40',1,56000
'-6','99998','9','2','1','4',36,'01','40',5,50000
'-6','35620','2','2','1','1',51,'02','47',3,68800
'-6','31080','9','1','4','5',66,'01','45',2,140200
'-6','31080','9','2','3','1',61,'01','37',6,60200
'-9','31080','9','1','1','1',37,'04','35',3,200000
'-6','99998','9','2','6','5',42,'01','38',2,6000
'2','31080','9','2','1','1',42,'01','45',4,189000
'-6','31080','9','1','6','5',40,'01','39',2,165000
'-6','31080','9','1','4','4',60,'04','47',1,294000
'-6','31080','9','1','1','4',74,'04','43',2,22500
'-6','99999','3','1','1','1',48,'01','43',2,136000
'-6','99998','9','1','1','1',41,'01','44',7,225000
'-6','31080','9','1','1','4',74,'04','47',2,402000
'1','31080','9','2','6','1',27,'01','42',3,68000
'-6','31080','9','2','1','1',52,'12','39',3,92000
'-6','31080','9','1','1','5',44,'01','40',5,28000
'-6','31080','9','1','1','1',35,'01','43',2,97000
'-6','35620','2','2','5','4',56,'02','40',4,60000
'-6','31080','9','2','1','5',64,'04','39',3,29600
'-6','99999','3','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','9','2','1','4',47,'01','38',5,97000
'-6','31080','9','2','4','4',61,'04','44',2,28000
'-6','31080','9','1','1','1',33,'01','39',2,49200
'-6','31080','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','2','3','1',68,'02','45',1,75000
'2','31080','9','1','1','1',32,'01','47',2,167000
'-6','31080','9','1','1','4',43,'04','40',2,145000
'1','31080','9','2','6','5',26,'01','44',1,20000
'-6','99999','3','2','4','1',62,'01','44',2,54000
'-6','99998','9','1','1','4',71,'01','31',6,36000
'1','99998','2','1','6','1',30,'02','39',1,47000
'2','31080','9','1','6','1',77,'01','40',1,34000
'1','31080','9','2','4','1',57,'01','39',1,1500
'-6','31080','9','1','1','5',39,'04','45',4,230000
'1','31080','9','1','1','1',29,'01','40',2,69000
'-6','31080','9','2','1','1',58,'01','44',4,84500
'2','31080','9','1','6','1',32,'01','47',1,157000
'-6','31080','9','1','1','4',59,'01','44',5,287000
'-6','99999','3','1','6','1',66,'01','40',1,10000
'-6','99998','2','2','1','1',70,'02','40',2,69600
'-6','99998','2','1','1','1',43,'01','44',3,140700
'-6','31080','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','35620','2','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','31080','9','1','1','4',57,'01','41',5,172950
'-6','31080','9','1','1','1',64,'01','44',3,118000
'-6','35620','2','2','1','5',36,'01','40',5,128000
'-6','35620','2','2','3','4',79,'01','38',1,9000
'-6','99998','2','2','4','1',54,'01','40',2,115000
'-6','99999','3','1','1','1',36,'01','44',5,126000
'-6','99998','9','2','1','1',52,'01','42',5,115000
'2','31080','9','2','4','1',41,'04','46',5,279400
'-6','31080','9','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','31080','9','2','1','5',59,'04','39',5,30200
'-6','31080','9','1','1','1',70,'04','44',2,130300
'-6','31080','9','2','4','1',52,'01','41',3,94300
'2','31080','9','1','1','1',25,'01','40',4,170000
'1','31080','9','2','1','1',42,'04','44',5,477004
'-6','99999','6','1','4','1',46,'01','39',1,8500
'-6','99999','5','1','4','1',70,'01','34',1,13000
'-6','99998','4','1','1','1',63,'01','45',3,210000
'2','99998','4','1','6','1',30,'01','44',1,25000
'-6','99998','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','6','1','1','1',42,'01','39',3,66200
'-6','99998','4','2','6','1',49,'02','38',2,57000
'-6','99998','4','2','1','1',80,'01','43',2,259840
'-6','99999','5','2','4','4',47,'20','39',1,30000
'-6','99999','4','-6','-6','-6',-6,'-6','-6',-6,-6
'2','99999','4','1','1','1',68,'01','44',2,70100
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','5','1','1','5',49,'01','39',6,1000
'-6','99998','4','2','3','1',77,'01','44',1,189000
'-6','99998','4','2','1','1',33,'01','45',2,73004
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','4','2','1','1',24,'04','40',3,164000
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','4','1','1','1',53,'01','40',3,133600
'-6','99999','4','2','3','1',80,'01','43',1,50000
'-6','99998','6','1','4','1',62,'02','42',2,22800
'1','99998','5','2','1','1',33,'01','39',2,33400
'2','99999','4','1','6','1',19,'01','39',2,50000
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','6','1','4','1',50,'01','44',3,76400
'-6','99998','4','1','1','5',48,'02','39',3,14400
'-6','99999','5','1','6','1',53,'02','38',1,7500
'-6','99998','4','2','1','1',52,'01','44',4,132000
'-6','99998','4','2','3','1',85,'01','39',1,14400
'1','99998','6','1','1','1',39,'01','39',2,40000
'-6','99998','6','1','5','1',77,'02','34',1,13200
'-6','99998','5','1','1','1',35,'01','39',2,110000
'-6','99998','5','2','5','5',35,'01','39',3,19200
'-6','99998','4','2','6','1',60,'01','44',1,43400
'-6','99998','4','2','1','1',63,'01','46',2,0
'-6','99998','6','2','1','5',32,'01','33',6,20800
'-6','99999','6','1','3','1',79,'01','34',1,15700
'-6','99999','6','2','1','1',54,'01','44',2,42600
'-6','99998','5','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','5','2','1','1',74,'01','45',2,106800
'2','99998','4','1','6','5',30,'04','45',2,30000
'-9','99998','6','1','6','1',21,'02','40',1,291000
'-6','99998','6','1','6','4',34,'01','37',4,24000
'-6','99998','4','2','1','1',20,'01','39',3,92800
'-6','99998','4','2','4','4',45,'02','31',5,20500
'-6','99998','4','1','3','1',85,'02','39',2,98800
'-6','99998','4','1','4','1',68,'01','40',2,86000
'-6','99999','4','1','6','1',68,'01','39',2,48100
'-6','99998','5','2','1','4',27,'01','39',4,56440
'-6','99998','5','1','6','1',19,'02','39',2,59000
'-6','99998','5','1','6','1',47,'01','39',1,80000
'-6','99999','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','4','1','1','1',43,'01','39',4,100000
'1','99998','4','1','1','1',32,'01','44',2,121000
'2','99998','4','2','6','1',31,'01','44',1,76000
'2','99999','6','1','1','1',55,'01','39',2,83950
'-6','99998','5','2','1','1',67,'01','42',3,60000
'-6','99999','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','26420','7','1','1','1',65,'01','44',2,80000
'2','19100','7','1','6','1',18,'01','37',1,4000
'2','26420','7','2','3','1',80,'01','40',1,3200
'-6','26420','7','1','1','1',60,'01','44',2,117000
'-6','99998','3','1','1','1',34,'01','45',4,256800
'-6','26420','7','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99998','8','2','2','1',19,'01','36',3,32000
'-6','99999','6','2','3','1',80,'02','36',3,123000
'-6','19100','7','1','1','1',58,'01','38',2,89500
'-6','99998','7','2','6','1',26,'01','39',4,120000
'-6','99999','7','1','1','1',72,'01','40',3,166600
'-6','26420','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99999','6','2','3','1',69,'01','39',1,9900
'-6','19100','7','1','6','1',49,'01','39',2,94000
'-6','99998','7','1','1','1',54,'01','44',4,139000
'-6','99998','7','1','4','1',44,'01','45',3,375600
'-6','26420','7','2','6','1',37,'01','41',2,47000
'-6','99998','3','1','1','1',65,'01','40',2,182000
'-6','26420','7','2','1','1',58,'01','44',2,307660
'-6','99998','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','8','2','6','1',35,'03','41',5,30000
'-6','99999','6','2','1','1',27,'02','37',4,40000
'-6','19100','7','1','1','1',60,'01','40',2,67000
'-6','99998','7','1','1','1',56,'01','42',4,118000
'-6','26420','7','2','6','1',36,'02','44',2,76000
'-6','19100','7','1','1','1',67,'01','39',3,147500
'-6','26420','7','1','6','1',70,'02','45',1,50000
'-6','99999','6','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','7','2','4','1',72,'01','45',1,40100
'-6','99998','3','1','1','1',42,'01','44',5,150000
'2','26420','7','1','1','1',48,'01','40',5,175000
'-6','99998','8','1','1','1',67,'01','45',2,99500
'-6','99999','6','2','1','1',67,'02','37',2,20400
'-6','99998','7','2','4','1',67,'01','44',1,28000
'2','99998','7','2','6','1',54,'01','39',2,27480
'-6','26420','7','2','4','1',43,'02','40',3,15400
'2','19100','7','1','1','1',53,'01','39',4,98000
'-6','99998','3','2','4','1',66,'01','44',1,38000
'-6','99998','7','1','1','1',69,'01','45',3,234600
'-6','19100','7','2','1','1',47,'01','39',4,120000
'-6','19100','7','2','1','1',47,'01','39',4,125500
'-6','99998','7','2','4','1',75,'02','45',2,0
'-6','99998','7','1','6','1',34,'01','42',2,105200
'-6','99998','3','1','1','1',74,'01','37',3,57200
'-6','99999','7','1','1','1',76,'01','45',2,246630
'-6','26420','7','2','4','5',54,'04','44',2,129000
'-6','99999','6','2','1','1',59,'02','39',2,29500
'-6','19100','7','1','2','1',31,'01','40',1,36000
'-6','26420','7','1','1','5',53,'01','36',2,55000
'-6','26420','7','-6','-6','-6',-6,'-6','-6',-6,-6
'1','99999','6','2','6','1',22,'02','37',2,17300
'-6','19100','7','1','1','1',66,'01','40',3,84500
'-6','99998','7','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','19100','7','1','1','1',37,'01','39',2,70000
'-6','26420','7','2','1','1',45,'01','44',4,320200
'-6','99999','6','2','1','1',58,'01','39',2,10000
'-6','26420','7','2','6','1',85,'01','31',1,800
'-6','26420','7','2','1','5',54,'04','45',4,140000
'-6','26420','7','2','4','1',80,'01','39',1,1900
'2','99998','3','2','1','1',27,'02','40',2,126000
'-6','99998','4','2','1','1',32,'01','43',2,146000
'2','99998','3','1','1','1',54,'01','39',2,167000
'-6','99998','3','1','4','1',34,'01','45',1,85000
'1','99998','8','2','1','1',22,'03','40',2,15000
'-6','99998','4','1','1','1',58,'01','47',2,291000
'-6','99998','3','1','6','1',74,'02','44',1,53600
'-6','99998','8','1','1','1',56,'01','41',3,73200
'-6','99998','3','1','1','1',36,'02','43',4,56000
'-6','99998','4','1','1','1',36,'01','44',5,102000
'-6','99998','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','3','2','3','1',85,'01','39',1,41000
'-6','99998','8','1','1','1',67,'01','39',3,98400
'-6','99998','8','2','3','1',70,'01','45',1,90400
'-6','99998','4','1','1','1',66,'01','40',2,149000
'-6','99998','8','-6','-6','-6',-6,'-6','-6',-6,-6
'-6','99998','3','1','3','1',75,'02','39',1,37200
'-6','99998','3','2','1','1',32,'01','44',4,157100
'-6','99998','3','2','4','1',62,'01','45',2,142000
'-6','99998','4','-6','-6','-6',-6,'-6','-6',-6,-6
